Topic,DataValue,Stratification1,Location
Asthma,0.7,Age 0-44,Missouri
Asthma,0.7,Hispanic,Florida
Asthma,0.7,Overall,Texas
Asthma,0.7,Age 0-44,Arizona
Diabetes,0.7,Age 0-44,Ohio
Asthma,0.7,Male,Florida
Diabetes,0.7,Age 0-44,Missouri
Asthma,0.7,Age 0-44,Missouri
Asthma,0.7,"White, non-Hispanic",Kentucky
Chronic Obstructive Pulmonary Disease,0.79,"Asian or Pacific Islander, non-Hispanic",Maryland
Asthma,0.8,"White, non-Hispanic",New York
Asthma,0.8,Overall,Texas
Diabetes,0.8,Age 0-44,Virginia
Asthma,0.8,Male,Ohio
Asthma,0.8,Male,Pennsylvania
Asthma,0.8,Male,California
Asthma,0.8,"White, non-Hispanic",Utah
Asthma,0.8,"White, non-Hispanic",Pennsylvania
Asthma,0.8,Male,Washington
Asthma,0.8,Male,Florida
Asthma,0.8,Male,Georgia
Asthma,0.8,Age 0-44,Indiana
Diabetes,0.8,Age 0-44,Maryland
Asthma,0.8,Age 0-44,Alabama
Asthma,0.8,"White, non-Hispanic",Missouri
Asthma,0.8,Male,Texas
Diabetes,0.8,Age 0-44,Alabama
Cardiovascular Disease,0.8,Age 0-44,Colorado
Asthma,0.8,"White, non-Hispanic",North Carolina
Asthma,0.8,Age 0-44,Oregon
Asthma,0.8,Overall,Colorado
Diabetes,0.8,Age 0-44,Washington
Asthma,0.8,"White, non-Hispanic",Florida
Asthma,0.8,Age 0-44,Michigan
Asthma,0.8,Male,Virginia
Asthma,0.8,Male,Pennsylvania
Asthma,0.8,Male,Maryland
Diabetes,0.8,Age 0-44,Pennsylvania
Asthma,0.8,Male,Minnesota
Asthma,0.8,Male,Indiana
Diabetes,0.8,Age 0-44,California
Asthma,0.8,Female,Texas
Asthma,0.8,Male,Tennessee
Asthma,0.8,"White, non-Hispanic",Pennsylvania
Asthma,0.8,Age 0-44,Louisiana
Asthma,0.8,Age 0-44,Tennessee
Asthma,0.8,"White, non-Hispanic",Missouri
Asthma,0.8,Overall,Nevada
Diabetes,0.8,Age 0-44,Kentucky
Asthma,0.8,Male,California
Asthma,0.8,Male,Ohio
Diabetes,0.8,Age 0-44,Virginia
Asthma,0.8,Male,Missouri
Asthma,0.8,"White, non-Hispanic",Georgia
Asthma,0.8,Hispanic,Florida
Diabetes,0.8,Age 0-44,California
Diabetes,0.8,Age 0-44,Florida
Asthma,0.8,Male,Florida
Asthma,0.8,"White, non-Hispanic",Tennessee
Asthma,0.8,Overall,Utah
Asthma,0.8,Age 0-44,Alabama
Asthma,0.8,"White, non-Hispanic",Virginia
Cardiovascular Disease,0.8,Age 0-44,Massachusetts
Asthma,0.8,Male,Michigan
Chronic Obstructive Pulmonary Disease,0.87,"Asian or Pacific Islander, non-Hispanic",Virginia
Asthma,0.9,"Asian, non-Hispanic",California
Asthma,0.9,Female,Texas
Asthma,0.9,"White, non-Hispanic",Massachusetts
Asthma,0.9,Age 45-64,North Carolina
Asthma,0.9,Overall,Nevada
Diabetes,0.9,Hispanic,Arizona
Asthma,0.9,Overall,Pennsylvania
Diabetes,0.9,Age 0-44,Arizona
Asthma,0.9,Age 0-44,Michigan
Asthma,0.9,Male,Georgia
Asthma,0.9,Male,California
Asthma,0.9,Male,Georgia
Asthma,0.9,"White, non-Hispanic",New York
Asthma,0.9,"White, non-Hispanic",Florida
Diabetes,0.9,Age 0-44,Oregon
Diabetes,0.9,Age 0-44,Oregon
Asthma,0.9,Overall,Florida
Asthma,0.9,"White, non-Hispanic",South Carolina
Diabetes,0.9,Female,Virginia
Asthma,0.9,"White, non-Hispanic",Colorado
Asthma,0.9,"White, non-Hispanic",Utah
Asthma,0.9,Overall,Utah
Asthma,0.9,Overall,Colorado
Asthma,0.9,"White, non-Hispanic",New Jersey
Asthma,0.9,Male,South Carolina
Asthma,0.9,"White, non-Hispanic",Arkansas
Asthma,0.9,"White, non-Hispanic",Georgia
Asthma,0.9,Age 45-64,Texas
Asthma,0.9,"White, non-Hispanic",Georgia
Cardiovascular Disease,0.9,Age 0-44,Colorado
Asthma,0.9,Male,Washington
Asthma,0.9,"White, non-Hispanic",Florida
Asthma,0.9,Male,Washington
Asthma,0.9,"White, non-Hispanic",New Jersey
Asthma,0.9,"White, non-Hispanic",North Carolina
Asthma,0.9,Male,Arizona
Asthma,0.9,"White, non-Hispanic",Ohio
Asthma,0.9,"White, non-Hispanic",Ohio
Asthma,0.9,Overall,California
Asthma,0.9,"White, non-Hispanic",Michigan
Diabetes,0.9,Age 0-44,North Carolina
Asthma,0.9,"White, non-Hispanic",Texas
Asthma,0.9,Overall,Louisiana
Asthma,0.9,Overall,Florida
Asthma,0.9,Age 0-44,Illinois
Asthma,0.9,"Asian, non-Hispanic",California
Asthma,0.9,Male,Texas
Asthma,0.9,Male,Illinois
Asthma,0.9,"White, non-Hispanic",New York
Asthma,0.9,Overall,Michigan
Asthma,0.9,Male,North Carolina
Asthma,0.9,Overall,Kentucky
Asthma,0.9,Male,Tennessee
Cardiovascular Disease,0.9,Age 0-44,Washington
Asthma,0.9,"White, non-Hispanic",Colorado
Asthma,0.9,Overall,North Carolina
Diabetes,0.9,Age 0-44,Pennsylvania
Asthma,0.9,"White, non-Hispanic",Illinois
Diabetes,0.9,Age 0-44,Indiana
Asthma,0.9,"White, non-Hispanic",Tennessee
Asthma,0.9,"White, non-Hispanic",Alabama
Asthma,0.9,"White, non-Hispanic",Connecticut
Asthma,0.9,Age 0-44,Illinois
Asthma,0.9,"White, non-Hispanic",North Carolina
Diabetes,0.9,Female,Florida
Chronic Obstructive Pulmonary Disease,0.93,"Asian or Pacific Islander, non-Hispanic",Maryland
Asthma,1.0,Overall,Illinois
Asthma,1.0,Overall,Indiana
Asthma,1.0,Overall,Missouri
Asthma,1.0,"White, non-Hispanic",Alabama
Asthma,1.0,Overall,South Carolina
Diabetes,1.0,Age 0-44,Colorado
Asthma,1.0,"White, non-Hispanic",Maryland
Diabetes,1.0,Age 0-44,Indiana
Cancer,1.0,"Asian or Pacific Islander, non-Hispanic",Illinois
Asthma,1.0,Male,Indiana
Asthma,1.0,Male,Maryland
Asthma,1.0,Male,Michigan
Asthma,1.0,Hispanic,Arizona
Asthma,1.0,Male,Oregon
Asthma,1.0,Overall,Louisiana
Diabetes,1.0,Age 0-44,Arizona
Diabetes,1.0,Age 0-44,Georgia
Cancer,1.0,Hispanic,North Carolina
Cancer,1.0,Hispanic,Washington
Asthma,1.0,"White, non-Hispanic",Missouri
Asthma,1.0,Overall,Minnesota
Asthma,1.0,Overall,Texas
Asthma,1.0,Overall,Oregon
Asthma,1.0,"White, non-Hispanic",Massachusetts
Asthma,1.0,"White, non-Hispanic",Minnesota
Asthma,1.0,"White, non-Hispanic",Virginia
Asthma,1.0,Overall,Colorado
Asthma,1.0,Overall,Florida
Asthma,1.0,"White, non-Hispanic",Alabama
Asthma,1.0,Male,Wisconsin
Diabetes,1.0,Age 0-44,South Carolina
Diabetes,1.0,Age 0-44,Illinois
Asthma,1.0,Overall,Tennessee
Asthma,1.0,Overall,Virginia
Asthma,1.0,Male,New Jersey
Asthma,1.0,Overall,Connecticut
Asthma,1.0,Male,Louisiana
Asthma,1.0,"White, non-Hispanic",South Carolina
Asthma,1.0,Overall,Missouri
Diabetes,1.0,Age 0-44,North Carolina
Asthma,1.0,"White, non-Hispanic",Illinois
Cardiovascular Disease,1.0,Age 0-44,New York
Asthma,1.0,"White, non-Hispanic",Indiana
Asthma,1.0,Overall,Louisiana
Diabetes,1.0,Age 0-44,Wisconsin
Asthma,1.0,Male,Michigan
Cancer,1.0,"Asian or Pacific Islander, non-Hispanic",Illinois
Diabetes,1.0,Age 0-44,Texas
Asthma,1.0,"White, non-Hispanic",Maryland
Asthma,1.0,Age 45-64,Texas
Diabetes,1.0,"Asian, non-Hispanic",California
Asthma,1.0,Overall,North Carolina
Asthma,1.0,Female,Louisiana
Asthma,1.0,Male,Alabama
Asthma,1.0,Female,Kentucky
Asthma,1.0,"White, non-Hispanic",New Jersey
Asthma,1.0,"White, non-Hispanic",Kansas
Asthma,1.0,"White, non-Hispanic",Kansas
Diabetes,1.0,Age 0-44,Washington
Asthma,1.0,Female,Louisiana
Asthma,1.0,Female,California
Asthma,1.0,"White, non-Hispanic",Ohio
Asthma,1.0,Male,Wisconsin
Asthma,1.0,Overall,California
Asthma,1.0,Male,Minnesota
Asthma,1.0,Overall,Georgia
Diabetes,1.0,Female,Illinois
Cardiovascular Disease,1.0,Age 0-44,Colorado
Diabetes,1.0,Age 0-44,Michigan
Asthma,1.0,Male,Massachusetts
Chronic Obstructive Pulmonary Disease,1.07,"Asian or Pacific Islander, non-Hispanic",Virginia
Asthma,1.1,Overall,Pennsylvania
Asthma,1.1,"White, non-Hispanic",Indiana
Asthma,1.1,Overall,Washington
Asthma,1.1,Overall,Massachusetts
Cardiovascular Disease,1.1,Age 0-44,Connecticut
Cardiovascular Disease,1.1,Age 0-44,Oregon
Asthma,1.1,Female,Connecticut
Asthma,1.1,Female,Louisiana
Asthma,1.1,"White, non-Hispanic",Colorado
Cardiovascular Disease,1.1,Age 0-44,Wisconsin
Asthma,1.1,Male,Massachusetts
Asthma,1.1,Overall,Wisconsin
Asthma,1.1,Male,Pennsylvania
Asthma,1.1,Age 45-64,Florida
Asthma,1.1,Age 45-64,North Carolina
Asthma,1.1,Age 0-44,Oklahoma
Asthma,1.1,"White, non-Hispanic",Pennsylvania
Asthma,1.1,Overall,Michigan
Cardiovascular Disease,1.1,Age 0-44,Minnesota
Asthma,1.1,Female,Oregon
Asthma,1.1,"White, non-Hispanic",Wisconsin
Diabetes,1.1,Age 0-44,Kentucky
Diabetes,1.1,Age 0-44,Louisiana
Asthma,1.1,Overall,Georgia
Diabetes,1.1,Hispanic,Illinois
Diabetes,1.1,Age 0-44,Indiana
Diabetes,1.1,Age 0-44,Minnesota
Cancer,1.1,Hispanic,Virginia
Cancer,1.1,Hispanic,Massachusetts
Asthma,1.1,Female,Colorado
Cancer,1.1,"Asian or Pacific Islander, non-Hispanic",New Jersey
Asthma,1.1,Overall,Ohio
Diabetes,1.1,Age 0-44,Connecticut
Cardiovascular Disease,1.1,Age 0-44,Michigan
Asthma,1.1,Female,Illinois
Asthma,1.1,Female,Michigan
Asthma,1.1,Overall,California
Diabetes,1.1,Age 0-44,Missouri
Asthma,1.1,Female,Georgia
Asthma,1.1,Age 45-64,Georgia
Asthma,1.1,Overall,Kansas
Diabetes,1.1,Age 0-44,Illinois
Asthma,1.1,Female,Florida
Asthma,1.1,Female,North Carolina
Asthma,1.1,Overall,Arkansas
Diabetes,1.1,Age 0-44,Georgia
Diabetes,1.1,Overall,Idaho
Asthma,1.1,Female,Alabama
Asthma,1.1,Male,Arizona
Asthma,1.1,Male,Ohio
Asthma,1.1,Female,Michigan
Asthma,1.1,Male,Indiana
Asthma,1.1,Female,Texas
Diabetes,1.1,Age 0-44,New York
Asthma,1.1,"White, non-Hispanic",Utah
Asthma,1.1,Female,Indiana
Asthma,1.1,Overall,Washington
Diabetes,1.1,Age 0-44,Ohio
Asthma,1.1,Age 45-64,Illinois
Diabetes,1.1,Age 0-44,Wisconsin
Asthma,1.1,Hispanic,New Jersey
Cardiovascular Disease,1.1,Age 0-44,Utah
Asthma,1.1,Age 45-64,Pennsylvania
Asthma,1.1,Female,Pennsylvania
Diabetes,1.1,Female,Arizona
Asthma,1.1,"White, non-Hispanic",Texas
Asthma,1.1,Age 45-64,California
Asthma,1.1,Male,New York
Asthma,1.1,Overall,Ohio
Asthma,1.1,Male,Missouri
Asthma,1.1,Male,New Jersey
Cardiovascular Disease,1.1,Age 0-44,Massachusetts
Asthma,1.1,"White, non-Hispanic",Oregon
Asthma,1.1,Male,South Carolina
Asthma,1.1,Age 45-64,Ohio
Asthma,1.1,"White, non-Hispanic",Virginia
Asthma,1.1,Age 45-64,Michigan
Diabetes,1.1,Age 0-44,Iowa
Diabetes,1.1,Overall,Virginia
Asthma,1.1,"White, non-Hispanic",Indiana
Asthma,1.1,Overall,Georgia
Asthma,1.1,Overall,Virginia
Asthma,1.2,Overall,Arizona
Asthma,1.2,Age 45-64,California
Asthma,1.2,Age 45-64,Texas
Asthma,1.2,"White, non-Hispanic",Washington
Asthma,1.2,Female,Tennessee
Asthma,1.2,Overall,Arkansas
Cancer,1.2,Hispanic,Massachusetts
Diabetes,1.2,Female,Massachusetts
Cardiovascular Disease,1.2,Age 0-44,Pennsylvania
Asthma,1.2,Male,Arizona
Asthma,1.2,Overall,New Mexico
Asthma,1.2,Overall,Connecticut
Asthma,1.2,Age 0-44,Mississippi
Cardiovascular Disease,1.2,Age 0-44,Washington
Asthma,1.2,Overall,Indiana
Asthma,1.2,"White, non-Hispanic",Tennessee
Asthma,1.2,Male,Tennessee
Asthma,1.2,Male,New York
Cardiovascular Disease,1.2,Age 0-44,Illinois
Diabetes,1.2,Age 0-44,Tennessee
Asthma,1.2,"White, non-Hispanic",South Carolina
Diabetes,1.2,Age 0-44,Michigan
Asthma,1.2,Male,Maryland
Cancer,1.2,Hispanic,Washington
Asthma,1.2,"White, non-Hispanic",Wisconsin
Asthma,1.2,Overall,Missouri
Cardiovascular Disease,1.2,Age 0-44,Minnesota
Asthma,1.2,Overall,Alabama
Diabetes,1.2,Hispanic,New York
Asthma,1.2,Age 45-64,Massachusetts
Diabetes,1.2,Age 0-44,Connecticut
Asthma,1.2,Overall,Massachusetts
Diabetes,1.2,Female,Pennsylvania
Asthma,1.2,"White, non-Hispanic",Arkansas
Diabetes,1.2,Hispanic,California
Diabetes,1.2,Female,Massachusetts
Asthma,1.2,Overall,North Carolina
Asthma,1.2,Male,Oregon
Asthma,1.2,Overall,Massachusetts
Cardiovascular Disease,1.2,Age 0-44,Iowa
Asthma,1.2,Overall,New Mexico
Asthma,1.2,Male,Alabama
Cancer,1.2,Overall,Vermont
Asthma,1.2,Female,Colorado
Asthma,1.2,"Asian, non-Hispanic",California
Diabetes,1.2,Overall,Florida
Asthma,1.2,"White, non-Hispanic",Mississippi
Asthma,1.2,Female,Minnesota
Asthma,1.2,Age 45-64,Tennessee
Diabetes,1.2,Female,Michigan
Diabetes,1.2,"White, non-Hispanic",Connecticut
Cardiovascular Disease,1.2,Age 0-44,Pennsylvania
Asthma,1.2,"White, non-Hispanic",Maryland
Cancer,1.2,Hispanic,Virginia
Cardiovascular Disease,1.2,Age 0-44,New York
Asthma,1.2,Overall,Connecticut
Diabetes,1.2,Age 0-44,Missouri
Asthma,1.2,"White, non-Hispanic",Kansas
Cardiovascular Disease,1.2,Age 0-44,Utah
Asthma,1.2,Overall,Arizona
Asthma,1.2,Female,Missouri
Diabetes,1.2,Female,Georgia
Asthma,1.2,Age 45-64,Pennsylvania
Asthma,1.2,Female,Massachusetts
Asthma,1.2,Overall,Iowa
Diabetes,1.2,Age 0-44,Texas
Diabetes,1.2,Male,Virginia
Asthma,1.2,Male,Minnesota
Asthma,1.2,"White, non-Hispanic",Texas
Asthma,1.2,Female,Florida
Asthma,1.2,Overall,Ohio
Asthma,1.2,"White, non-Hispanic",California
Asthma,1.2,Age 45-64,Arizona
Asthma,1.2,Overall,Tennessee
Asthma,1.2,Male,New Jersey
Asthma,1.2,Age 45-64,California
Asthma,1.2,Female,California
Asthma,1.2,Overall,Oklahoma
Asthma,1.2,Age 45-64,Virginia
Asthma,1.2,Female,Georgia
Asthma,1.2,"White, non-Hispanic",Washington
Asthma,1.2,Overall,Arkansas
Diabetes,1.2,Hispanic,New Jersey
Cancer,1.2,Female,Vermont
Asthma,1.2,Age 45-64,Florida
Diabetes,1.2,Overall,Iowa
Asthma,1.2,Female,Missouri
Diabetes,1.2,Age 0-44,Kansas
Asthma,1.2,Overall,Kansas
Diabetes,1.2,Age 0-44,Florida
Cardiovascular Disease,1.2,Age 0-44,Iowa
Diabetes,1.2,Age 0-44,Maryland
Chronic Obstructive Pulmonary Disease,1.25,Male,Alaska
Chronic Obstructive Pulmonary Disease,1.26,"White, non-Hispanic",Alaska
Chronic Obstructive Pulmonary Disease,1.27,"Asian or Pacific Islander, non-Hispanic",New Jersey
Asthma,1.3,Overall,Alabama
Diabetes,1.3,Age 0-44,Maryland
Diabetes,1.3,Male,Iowa
Asthma,1.3,Female,Arkansas
Diabetes,1.3,Age 0-44,Alabama
Asthma,1.3,Female,Kentucky
Asthma,1.3,Overall,Maryland
Diabetes,1.3,Age 0-44,South Carolina
Asthma,1.3,"White, non-Hispanic",California
Cancer,1.3,"White, non-Hispanic",Massachusetts
Diabetes,1.3,Age 0-44,Arkansas
Cancer,1.3,"White, non-Hispanic",Massachusetts
Asthma,1.3,Female,North Carolina
Asthma,1.3,Female,Florida
Cardiovascular Disease,1.3,Age 0-44,Pennsylvania
Diabetes,1.3,Overall,Massachusetts
Diabetes,1.3,"White, non-Hispanic",Illinois
Asthma,1.3,Overall,Alabama
Diabetes,1.3,"White, non-Hispanic",Virginia
Asthma,1.3,Female,Wisconsin
Cardiovascular Disease,1.3,Age 0-44,New York
Diabetes,1.3,Female,Colorado
Cardiovascular Disease,1.3,Age 0-44,Nevada
Asthma,1.3,Female,Ohio
Diabetes,1.3,"Black, non-Hispanic",Virginia
Asthma,1.3,Age 45-64,Georgia
Asthma,1.3,Female,Washington
Asthma,1.3,"White, non-Hispanic",Mississippi
Asthma,1.3,Female,Arizona
Asthma,1.3,"White, non-Hispanic",Oklahoma
Asthma,1.3,Age 45-64,Michigan
Asthma,1.3,Female,Virginia
Asthma,1.3,Female,Alabama
Diabetes,1.3,Age 0-44,Mississippi
Diabetes,1.3,Age 0-44,Louisiana
Asthma,1.3,Male,Arkansas
Asthma,1.3,"White, non-Hispanic",Massachusetts
Asthma,1.3,Age 45-64,Missouri
Asthma,1.3,Overall,Indiana
Asthma,1.3,Hispanic,New Jersey
Cardiovascular Disease,1.3,Age 0-44,Minnesota
Diabetes,1.3,Overall,Nebraska
Cardiovascular Disease,1.3,Age 0-44,Illinois
Asthma,1.3,Male,Virginia
Asthma,1.3,Overall,Maryland
Asthma,1.3,Overall,Oklahoma
Asthma,1.3,Male,Connecticut
Cardiovascular Disease,1.3,Age 0-44,Washington
Cancer,1.3,"White, non-Hispanic",Vermont
Diabetes,1.3,Age 0-44,Arkansas
Alcohol,1.3,Age 0-44,New York
Cardiovascular Disease,1.3,Age 0-44,Arizona
Asthma,1.3,Male,Illinois
Diabetes,1.3,Age 0-44,Colorado
Asthma,1.3,Overall,Illinois
Asthma,1.3,Overall,New Jersey
Asthma,1.3,Female,Ohio
Diabetes,1.3,Age 45-64,Virginia
Asthma,1.3,Overall,New York
Asthma,1.3,Overall,Maryland
Asthma,1.3,Male,Alabama
Alcohol,1.3,Age 0-44,Louisiana
Asthma,1.3,Female,Washington
Diabetes,1.3,Female,California
Diabetes,1.3,"White, non-Hispanic",New Jersey
Asthma,1.3,Overall,Nebraska
Diabetes,1.3,Female,Utah
Cardiovascular Disease,1.3,Age 0-44,Oregon
Diabetes,1.3,Hispanic,New Jersey
Asthma,1.3,"White, non-Hispanic",California
Cancer,1.3,"Asian or Pacific Islander, non-Hispanic",Virginia
Diabetes,1.3,Overall,Illinois
Asthma,1.3,Overall,Idaho
Asthma,1.3,Female,South Carolina
Asthma,1.3,Female,Iowa
Asthma,1.3,"White, non-Hispanic",Wisconsin
Cancer,1.3,Female,Utah
Asthma,1.3,"White, non-Hispanic",Iowa
Asthma,1.3,Female,Colorado
Cardiovascular Disease,1.3,Age 0-44,Wisconsin
Asthma,1.3,Overall,Oregon
Asthma,1.3,Overall,Kansas
Asthma,1.3,Overall,New Jersey
Asthma,1.3,Hispanic,New Jersey
Diabetes,1.3,Overall,Connecticut
Diabetes,1.3,Female,New York
Asthma,1.3,Overall,Tennessee
Cancer,1.3,"Asian or Pacific Islander, non-Hispanic",New Jersey
Asthma,1.3,Age 45-64,Washington
Diabetes,1.3,"Asian, non-Hispanic",California
Cardiovascular Disease,1.3,Age 0-44,Virginia
Diabetes,1.3,"White, non-Hispanic",Iowa
Asthma,1.3,Overall,Michigan
Asthma,1.3,"White, non-Hispanic",Arizona
Cancer,1.3,Overall,Utah
Diabetes,1.3,Female,Louisiana
Asthma,1.3,"White, non-Hispanic",Iowa
Asthma,1.3,Overall,Pennsylvania
Chronic Obstructive Pulmonary Disease,1.35,Male,Alaska
Chronic Obstructive Pulmonary Disease,1.35,"White, non-Hispanic",Alaska
Diabetes,1.4,Hispanic,Florida
Cardiovascular Disease,1.4,Age 0-44,Maryland
Cancer,1.4,"Asian or Pacific Islander, non-Hispanic",Texas
Cancer,1.4,Hispanic,Illinois
Cancer,1.4,"White, non-Hispanic",Minnesota
Cancer,1.4,"Asian or Pacific Islander, non-Hispanic",Virginia
Diabetes,1.4,Age 45-64,Pennsylvania
Asthma,1.4,Overall,Illinois
Diabetes,1.4,"Asian, non-Hispanic",Texas
Asthma,1.4,Female,Illinois
Asthma,1.4,Female,Massachusetts
Asthma,1.4,Overall,Virginia
Asthma,1.4,Female,California
Asthma,1.4,Female,Pennsylvania
Asthma,1.4,Male,Iowa
Asthma,1.4,Male,Illinois
Asthma,1.4,"White, non-Hispanic",Minnesota
Diabetes,1.4,"White, non-Hispanic",Utah
Cardiovascular Disease,1.4,Age 0-44,Oregon
Asthma,1.4,Hispanic,New York
Cancer,1.4,Hispanic,Illinois
Cancer,1.4,Female,Massachusetts
Cancer,1.4,Hispanic,Michigan
Cardiovascular Disease,1.4,Age 0-44,Maryland
Asthma,1.4,Female,Georgia
Asthma,1.4,Female,Missouri
Cancer,1.4,Overall,Massachusetts
Asthma,1.4,Female,Indiana
Asthma,1.4,Overall,Nebraska
Asthma,1.4,Age 45-64,Ohio
Asthma,1.4,Female,Illinois
Asthma,1.4,Female,Virginia
Diabetes,1.4,"White, non-Hispanic",New York
Asthma,1.4,Overall,South Carolina
Cancer,1.4,"White, non-Hispanic",Minnesota
Cardiovascular Disease,1.4,Age 0-44,Arizona
Asthma,1.4,Female,New York
Diabetes,1.4,Female,Missouri
Asthma,1.4,Age 45-64,Michigan
Cancer,1.4,Overall,Massachusetts
Asthma,1.4,"Black, non-Hispanic",Georgia
Asthma,1.4,Overall,Minnesota
Cardiovascular Disease,1.4,Age 0-44,Virginia
Asthma,1.4,Female,Maryland
Asthma,1.4,Age 45-64,Tennessee
Asthma,1.4,Age 45-64,Virginia
Diabetes,1.4,Overall,Utah
Diabetes,1.4,Overall,Georgia
Asthma,1.4,Overall,Washington
Asthma,1.4,"White, non-Hispanic",Oregon
Diabetes,1.4,Hispanic,New York
Alcohol,1.4,Age 0-44,Connecticut
Asthma,1.4,Male,Oklahoma
Diabetes,1.4,Overall,Pennsylvania
Asthma,1.4,"White, non-Hispanic",Nevada
Diabetes,1.4,"White, non-Hispanic",Georgia
Asthma,1.4,Male,Wisconsin
Diabetes,1.4,Age 0-44,Minnesota
Cardiovascular Disease,1.4,Age 0-44,California
Diabetes,1.4,Age 0-44,Oklahoma
Diabetes,1.4,"White, non-Hispanic",Michigan
Asthma,1.4,"White, non-Hispanic",Connecticut
Asthma,1.4,Overall,Wisconsin
Diabetes,1.4,Age 0-44,Oklahoma
Cardiovascular Disease,1.4,Age 0-44,Illinois
Diabetes,1.4,"Asian, non-Hispanic",New York
Asthma,1.4,Female,Ohio
Cancer,1.4,Hispanic,Ohio
Diabetes,1.4,Female,Florida
Cancer,1.4,"White, non-Hispanic",Utah
Diabetes,1.4,Hispanic,Illinois
Asthma,1.4,Female,Tennessee
Cancer,1.4,Overall,Minnesota
Asthma,1.4,"White, non-Hispanic",Minnesota
Cardiovascular Disease,1.4,Age 0-44,New Jersey
Diabetes,1.4,Female,Wisconsin
Diabetes,1.4,Overall,Michigan
Cancer,1.4,Hispanic,Nevada
Cancer,1.4,Female,Minnesota
Asthma,1.4,Male,Iowa
Diabetes,1.4,Overall,Arizona
Asthma,1.4,"White, non-Hispanic",Oklahoma
Alcohol,1.4,Age 0-44,Virginia
